study_variable,published_domain,regex_domain,match
reshist_addr1_coi_zhe_rsei,Substance,Culture/Environment,False
reshist_addr1_coi_zhe_suprfnd,Substance,Culture/Environment,False
reshist_addr1_coi_zhe_vacancy,Substance,Culture/Environment,False
reshist_addr1_coi_zhe_walk,Substance,Culture/Environment,False
reshist_addr1_coi_zse_ecres,Substance,Culture/Environment,False
reshist_addr1_coi_zse_emprat,Substance,Culture/Environment,False
reshist_addr1_coi_zse_home,Substance,Culture/Environment,False
reshist_addr1_coi_zse_jobprox,Substance,Culture/Environment,False
reshist_addr1_coi_zse_mhe,Substance,Culture/Environment,False
reshist_addr1_coi_zse_occ,Substance,Culture/Environment,False
reshist_addr1_coi_zse_povrate,Substance,Culture/Environment,False
reshist_addr1_coi_zse_public,Substance,Culture/Environment,False
reshist_addr1_coi_zse_single,Substance,Culture/Environment,False
reshist_addr1_move_in_year,Substance,Culture/Environment,False
reshist_addr1_move_out_year,Substance,Culture/Environment,False
reshist_addr1_no2_2016_aavg,Substance,Culture/Environment,False
reshist_addr1_o3_2016_annavg,Substance,Culture/Environment,False
reshist_addr1_opat_kfrpp_avg,Substance,Culture/Environment,False
reshist_addr1_svi_17_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_65_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_cap_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_crwd20142018,Substance,Culture/Environment,False
reshist_addr1_svi_dis_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_emp_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_eng_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_grp_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_hous20142018,Substance,Culture/Environment,False
reshist_addr1_svi_hs_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_min_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_mob_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_pov_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_sin_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_th1_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_th2_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_th3_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_th4_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_tot_20142018,Substance,Culture/Environment,False
reshist_addr1_svi_veh_20142018,Substance,Culture/Environment,False
reshist_addr1_traffic_count,Substance,Culture/Environment,False
reshist_state_mj_laws_low,Substance,Culture/Environment,False
reshist_state_mj_laws_med,Substance,Culture/Environment,False
reshist_state_mj_laws_rec,Substance,Culture/Environment,False
sag_days_skip_school,Substance,Unclassified,False
sag_excused_absence_p,Substance,Unclassified,False
sag_grade_type,Substance,Unclassified,False
sag_grades_last_yr,Substance,Unclassified,False
sag_iep_current_p,Substance,Unclassified,False
sag_iep_ever_p,Substance,Unclassified,False
sag_miss_school_excuse_p,Substance,Unclassified,False
sag_miss_school_unexcuse_p,Substance,Unclassified,False
sag_unexcuse_absence_p,Substance,Unclassified,False
anthroweight1lb,Physical Health,Physical Health,True
biospec_blood_baso_abs,Physical Health,Physical Health,True
biospec_blood_baso_percent,Physical Health,Physical Health,True
biospec_blood_cholesterol,Physical Health,Physical Health,True
biospec_blood_eos_abs,Physical Health,Physical Health,True
biospec_blood_eos_percent,Physical Health,Physical Health,True
biospec_blood_ferritin,Physical Health,Physical Health,True
biospec_blood_hdl_cholesterol,Physical Health,Physical Health,True
biospec_blood_hematocrit,Physical Health,Physical Health,True
biospec_blood_hemoglobin,Physical Health,Physical Health,True
biospec_blood_hemoglobin_a1,Physical Health,Physical Health,True
biospec_blood_imm_gran_abs,Physical Health,Physical Health,True
biospec_blood_imm_gran_per,Physical Health,Physical Health,True
biospec_blood_lymph_abs,Physical Health,Physical Health,True
biospec_blood_lymph_percent,Physical Health,Physical Health,True
biospec_blood_mch,Physical Health,Physical Health,True
biospec_blood_mchc,Physical Health,Physical Health,True
biospec_blood_mcv,Physical Health,Physical Health,True
biospec_blood_mono_abs,Physical Health,Physical Health,True
biospec_blood_mono_percent,Physical Health,Physical Health,True
biospec_blood_mpv,Physical Health,Physical Health,True
biospec_blood_neut_abs,Physical Health,Physical Health,True
biospec_blood_neut_percent,Physical Health,Physical Health,True
biospec_blood_plt_count,Physical Health,Physical Health,True
biospec_blood_rbc_count,Physical Health,Physical Health,True
biospec_blood_rdw,Physical Health,Physical Health,True
biospec_blood_wbc_count,Physical Health,Physical Health,True
bkfs_dt_carb,Physical Health,Unclassified,False
bkfs_dt_fibe,Physical Health,Unclassified,False
bkfs_dt_kcal,Physical Health,Unclassified,False
bkfs_dt_prot,Physical Health,Unclassified,False
bkfs_dt_sug_t,Physical Health,Unclassified,False
bkfs_dt_tfat,Physical Health,Unclassified,False
bkfs_group_sugarybevg_t_kcal,Physical Health,Unclassified,False
blood_pressure_dia_mean,Physical Health,Unclassified,False
blood_pressure_pulse_avg,Physical Health,Unclassified,False
blood_pressure_sys_mean,Physical Health,Unclassified,False
fit_ss_fitbit_fairlyactivemin,Physical Health,Unclassified,False
fit_ss_fitbit_lightlyactivemin,Physical Health,Unclassified,False
fit_ss_fitbit_sedentarymin,Physical Health,Unclassified,False
fit_ss_fitbit_totalsteps,Physical Health,Unclassified,False
fit_ss_fitbit_veryactivemin,Physical Health,Unclassified,False
gish_f1_p,Physical Health,Unclassified,False
gish_f1_y,Physical Health,Unclassified,False
gish_f10_p,Physical Health,Unclassified,False
gish_f12_p,Physical Health,Unclassified,False
gish_f13_p,Physical Health,Unclassified,False
gish_f14_p,Physical Health,Unclassified,False
gish_f2_p,Physical Health,Unclassified,False
gish_f2_y,Physical Health,Unclassified,False
gish_f3_p,Physical Health,Unclassified,False
gish_f3_y,Physical Health,Unclassified,False
gish_f4_p,Physical Health,Unclassified,False
gish_f4_y,Physical Health,Unclassified,False
gish_f5_p,Physical Health,Unclassified,False
gish_f6_p,Physical Health,Unclassified,False
gish_f7_p,Physical Health,Unclassified,False
gish_f8_p,Physical Health,Unclassified,False
gish_m1_p,Physical Health,Unclassified,False
gish_m1_y,Physical Health,Unclassified,False
gish_m10_p,Physical Health,Unclassified,False
gish_m12_p,Physical Health,Unclassified,False
gish_m13_p,Physical Health,Unclassified,False
gish_m14_p,Physical Health,Unclassified,False
gish_m2_p,Physical Health,Unclassified,False
gish_m2_y,Physical Health,Unclassified,False
gish_m3_p,Physical Health,Unclassified,False
gish_m3_y,Physical Health,Unclassified,False
gish_m4_p,Physical Health,Unclassified,False
gish_m4_y,Physical Health,Unclassified,False
gish_m5_p,Physical Health,Unclassified,False
gish_m6_p,Physical Health,Unclassified,False
gish_m7_p,Physical Health,Unclassified,False
gish_m8_p,Physical Health,Unclassified,False
gish_p_ss_f_sum2,Physical Health,Unclassified,False
gish_p_ss_m_sum2,Physical Health,Unclassified,False
gish_y_ss_f_sum,Physical Health,Unclassified,False
gish_y_ss_m_sum,Physical Health,Unclassified,False
mctq_fd_alarm_parent,Physical Health,Unclassified,False
mctq_fd_awakening_min,Physical Health,Unclassified,False
mctq_fd_min_to_get_up,Physical Health,Unclassified,False
mctq_fd_min_to_sleep,Physical Health,Physical Health,True
mctq_fd_num_wake_up,Physical Health,Unclassified,False
mctq_msfsc_calc,Physical Health,Unclassified,False
mctq_sd_alarm_clock,Physical Health,Unclassified,False
mctq_sd_awakening_min,Physical Health,Unclassified,False
mctq_sd_before_alarm,Physical Health,Unclassified,False
mctq_sd_min_to_get_up,Physical Health,Unclassified,False
mctq_sd_min_to_sleep,Physical Health,Physical Health,True
mctq_sd_num_wake_up,Physical Health,Unclassified,False
mctq_sdf_calc,Physical Health,Unclassified,False
mctq_sdw_calc,Physical Health,Unclassified,False
mctq_sdweek_calc,Physical Health,Unclassified,False
mctq_sjl_calc,Physical Health,Unclassified,False
mctq_tbtf_calc,Physical Health,Unclassified,False
mctq_tbtw_calc,Physical Health,Unclassified,False
medhx_11_l,Physical Health,Physical Health,True
medhx_12_l,Physical Health,Physical Health,True
medhx_1a_l,Physical Health,Physical Health,True
medhx_2_notes2_l,Physical Health,Physical Health,True
medhx_2a_l,Physical Health,Physical Health,True
medhx_2b_l,Physical Health,Physical Health,True
medhx_2n_l,Physical Health,Physical Health,True
medhx_2q_l,Physical Health,Physical Health,True
medhx_2r_l,Physical Health,Physical Health,True
medhx_4a_l,Physical Health,Physical Health,True
medhx_6a_l,Physical Health,Physical Health,True
medhx_6b_l,Physical Health,Physical Health,True
medhx_6c_l,Physical Health,Physical Health,True
medhx_6f_l,Physical Health,Physical Health,True
medhx_6h_l,Physical Health,Physical Health,True
medhx_6t_l,Physical Health,Physical Health,True
medhx_9a_l,Physical Health,Physical Health,True
medhx_9c_l,Physical Health,Physical Health,True
medhx_ss_4b_p_l,Physical Health,Physical Health,True
medhx_ss_6a_times_p_l,Physical Health,Physical Health,True
medhx_ss_6b_times_p_l,Physical Health,Physical Health,True
medhx_ss_6c_times_p_l,Physical Health,Physical Health,True
medhx_ss_6f_times_p_l,Physical Health,Physical Health,True
medhx_ss_6h_times_p_l,Physical Health,Physical Health,True
medhx_ss_6t_times_p_l,Physical Health,Physical Health,True
medhx_ss_9b_p_l,Physical Health,Physical Health,True
menstrualcycle2_p,Physical Health,Unclassified,False
menstrualcycle2_y,Physical Health,Unclassified,False
menstrualcycle3_p,Physical Health,Unclassified,False
menstrualcycle3_y,Physical Health,Unclassified,False
menstrualcycle5_p,Physical Health,Unclassified,False
menstrualcycle5_y,Physical Health,Unclassified,False
menstrualcycle6_p,Physical Health,Unclassified,False
menstrualcycle6_y,Physical Health,Unclassified,False
pain_how_long,Physical Health,Unclassified,False
pain_last_month,Physical Health,Unclassified,False
pain_limit,Physical Health,Unclassified,False
pain_scale_worst,Physical Health,Unclassified,False
pds_f5_y,Physical Health,Physical Health,True
pds_f5b_p,Physical Health,Physical Health,True
pds_f6_p,Physical Health,Physical Health,True
pds_f6_y,Physical Health,Physical Health,True
sai_ss_lmusic_hours_2_p_l,Physical Health,Physical Health,True
sai_ss_read_hours_2_p_l,Physical Health,Physical Health,True
tbi_3_l,Physical Health,Physical Health,True
tbi_3d_l,Physical Health,Physical Health,True
abcl_scr_adapt_friends_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_aggressive_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_anxious_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_attention_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_critical_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_external_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_internal_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_intrusive_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_other_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_rulebreak_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_somatic_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_thought_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_total_r,Family Mental Health,Family Mental Health,True
abcl_scr_prob_withdrawn_r,Family Mental Health,Family Mental Health,True
abcl_scr_sub_use_alcohol_r,Family Mental Health,Family Mental Health,True
abcl_scr_sub_use_drugs_r,Family Mental Health,Family Mental Health,True
abcl_scr_sub_use_r_mean,Family Mental Health,Family Mental Health,True
abcl_scr_sub_use_tobacco_r,Family Mental Health,Family Mental Health,True
bpm_1_y,Child Mental Health,Child Mental Health,True
bpm_10_y,Child Mental Health,Child Mental Health,True
bpm_11_y,Child Mental Health,Child Mental Health,True
bpm_12_y,Child Mental Health,Child Mental Health,True
bpm_13_y,Child Mental Health,Child Mental Health,True
bpm_14_y,Child Mental Health,Child Mental Health,True
bpm_15_y,Child Mental Health,Child Mental Health,True
bpm_16_y,Child Mental Health,Child Mental Health,True
bpm_17_y,Child Mental Health,Child Mental Health,True
bpm_18_y,Child Mental Health,Child Mental Health,True
bpm_19_y,Child Mental Health,Child Mental Health,True
bpm_2_y,Child Mental Health,Child Mental Health,True
bpm_3_y,Child Mental Health,Child Mental Health,True
bpm_4_y,Child Mental Health,Child Mental Health,True
bpm_5_y,Child Mental Health,Child Mental Health,True
bpm_6_y,Child Mental Health,Child Mental Health,True
bpm_7_y,Child Mental Health,Child Mental Health,True
bpm_8_y,Child Mental Health,Child Mental Health,True
bpm_9_y,Child Mental Health,Child Mental Health,True
bpm_y_scr_attention_r,Child Mental Health,Child Mental Health,True
bpm_y_scr_external_r,Child Mental Health,Child Mental Health,True
bpm_y_scr_internal_r,Child Mental Health,Child Mental Health,True
bpm_y_scr_totalprob_r,Child Mental Health,Child Mental Health,True
bpmt_q6,Child Mental Health,Child Mental Health,True
eatq_africa_p,Child Mental Health,Child Mental Health,True
eatq_alone_p,Child Mental Health,Child Mental Health,True
eatq_angry_hit_p,Child Mental Health,Child Mental Health,True
eatq_annoyed_p,Child Mental Health,Child Mental Health,True
eatq_attachment_p,Child Mental Health,Child Mental Health,True
eatq_ball_scared_p,Child Mental Health,Child Mental Health,True
eatq_before_hw_p,Child Mental Health,Child Mental Health,True
eatq_blame_p,Child Mental Health,Child Mental Health,True
eatq_care_p,Child Mental Health,Child Mental Health,True
eatq_city_move_p,Child Mental Health,Child Mental Health,True
eatq_close_attention_p,Child Mental Health,Child Mental Health,True
eatq_close_rel_p,Child Mental Health,Child Mental Health,True
eatq_concentrate_p,Child Mental Health,Child Mental Health,True
eatq_cry_p,Child Mental Health,Child Mental Health,True
eatq_dark_scared_p,Child Mental Health,Child Mental Health,True
eatq_deal_p,Child Mental Health,Child Mental Health,True
eatq_disagree_p,Child Mental Health,Child Mental Health,True
eatq_distracted_p,Child Mental Health,Child Mental Health,True
eatq_doorslam_p,Child Mental Health,Child Mental Health,True
eatq_early_start_p,Child Mental Health,Child Mental Health,True
eatq_energized_p,Child Mental Health,Child Mental Health,True
eatq_enjoy_p,Child Mental Health,Child Mental Health,True
eatq_finish_hw_p,Child Mental Health,Child Mental Health,True
eatq_finish_p,Child Mental Health,Child Mental Health,True
eatq_friendly_p,Child Mental Health,Child Mental Health,True
eatq_frustrated_p,Child Mental Health,Child Mental Health,True
eatq_hardly_sad_p,Child Mental Health,Child Mental Health,True
eatq_hugs_p,Child Mental Health,Child Mental Health,True
eatq_impulse_p,Child Mental Health,Child Mental Health,True
eatq_insult_p,Child Mental Health,Child Mental Health,True
eatq_irritated_crit_p,Child Mental Health,Child Mental Health,True
eatq_irritated_enjoy_p,Child Mental Health,Child Mental Health,True
eatq_irritated_place_p,Child Mental Health,Child Mental Health,True
eatq_is_shy_p,Child Mental Health,Child Mental Health,True
eatq_laugh_control_p,Child Mental Health,Child Mental Health,True
eatq_makes_fun_p,Child Mental Health,Child Mental Health,True
eatq_meet_p,Child Mental Health,Child Mental Health,True
eatq_no_criticize_p,Child Mental Health,Child Mental Health,True
eatq_not_shy_p,Child Mental Health,Child Mental Health,True
eatq_open_present_p,Child Mental Health,Child Mental Health,True
eatq_p_ss_activation,Child Mental Health,Child Mental Health,True
eatq_p_ss_affiliation,Child Mental Health,Child Mental Health,True
eatq_p_ss_aggression,Child Mental Health,Child Mental Health,True
eatq_p_ss_attention,Child Mental Health,Child Mental Health,True
eatq_p_ss_depressive_mood,Child Mental Health,Child Mental Health,True
eatq_p_ss_effort_cont_sup_scale,Child Mental Health,Child Mental Health,True
eatq_p_ss_fear,Child Mental Health,Child Mental Health,True
eatq_p_ss_frustration,Child Mental Health,Child Mental Health,True
eatq_p_ss_inhibitory,Child Mental Health,Child Mental Health,True
eatq_p_ss_neg_affect_sup_scale,Child Mental Health,Child Mental Health,True
eatq_p_ss_shyness,Child Mental Health,Child Mental Health,True
eatq_p_ss_surgency,Child Mental Health,Child Mental Health,True
eatq_p_ss_surgency_sup_scale,Child Mental Health,Child Mental Health,True
eatq_peripheral_p,Child Mental Health,Child Mental Health,True
eatq_puts_off_p,Child Mental Health,Child Mental Health,True
eatq_race_car_p,Child Mental Health,Child Mental Health,True
eatq_rides_scared_p,Child Mental Health,Child Mental Health,True
eatq_right_away_p,Child Mental Health,Child Mental Health,True
eatq_rude_p,Child Mental Health,Child Mental Health,True
eatq_sad_p,Child Mental Health,Child Mental Health,True
eatq_school_excite_p,Child Mental Health,Child Mental Health,True
eatq_sea_dive_p,Child Mental Health,Child Mental Health,True
eatq_seems_sad_p,Child Mental Health,Child Mental Health,True
eatq_share_p,Child Mental Health,Child Mental Health,True
eatq_shy_meet_p,Child Mental Health,Child Mental Health,True
eatq_sidetracked_p,Child Mental Health,Child Mental Health,True
eatq_ski_slope_p,Child Mental Health,Child Mental Health,True
eatq_social_p,Child Mental Health,Child Mental Health,True
eatq_spend_time_p,Child Mental Health,Child Mental Health,True
eatq_stick_to_plan_p,Child Mental Health,Child Mental Health,True
eatq_travel_p,Child Mental Health,Child Mental Health,True
eatq_trouble_p,Child Mental Health,Child Mental Health,True
eatq_try_focus_p,Child Mental Health,Child Mental Health,True
eatq_turn_taking_p,Child Mental Health,Child Mental Health,True
eatq_worry_p,Child Mental Health,Child Mental Health,True
kbi_p_c_age_services_l,Child Mental Health,Child Mental Health,True
kbi_p_c_best_friend_l,Child Mental Health,Child Mental Health,True
kbi_p_c_best_friend_len_l,Child Mental Health,Child Mental Health,True
kbi_p_c_bully_l,Child Mental Health,Child Mental Health,True
kbi_p_c_det_reason_l___8,Child Mental Health,Child Mental Health,True
kbi_p_c_det_susp_l,Child Mental Health,Child Mental Health,True
kbi_p_c_drop_in_grades_l,Child Mental Health,Child Mental Health,True
kbi_p_c_gay_l,Child Mental Health,Child Mental Health,True
kbi_p_c_gay_problems_l,Child Mental Health,Child Mental Health,True
kbi_p_c_guard_l___2,Child Mental Health,Child Mental Health,True
kbi_p_c_live_full_time_l,Child Mental Health,Child Mental Health,True
kbi_p_c_mh_sa_l,Child Mental Health,Child Mental Health,True
kbi_p_c_reg_friend_group_l,Child Mental Health,Child Mental Health,True
kbi_p_c_reg_friend_group_len_l,Child Mental Health,Child Mental Health,True
kbi_p_c_spec_serv_l___10,Child Mental Health,Child Mental Health,True
kbi_p_c_spec_serv_l___4,Child Mental Health,Child Mental Health,True
kbi_p_c_spec_serv_l___6,Child Mental Health,Child Mental Health,True
kbi_p_c_spec_serv_l___7,Child Mental Health,Child Mental Health,True
kbi_p_c_spec_serv_l___8,Child Mental Health,Child Mental Health,True
kbi_p_c_spec_serv_l___9,Child Mental Health,Child Mental Health,True
kbi_p_c_trans_l,Child Mental Health,Child Mental Health,True
kbi_p_c_trans_problems_l,Child Mental Health,Child Mental Health,True
kbi_p_conflict_causes_l___1,Child Mental Health,Child Mental Health,True
kbi_p_conflict_causes_l___2,Child Mental Health,Child Mental Health,True
kbi_p_conflict_causes_l___4,Child Mental Health,Child Mental Health,True
kbi_p_conflict_causes_l___5,Child Mental Health,Child Mental Health,True
kbi_p_conflict_causes_l___6,Child Mental Health,Child Mental Health,True
kbi_p_conflict_causes_l___8,Child Mental Health,Child Mental Health,True
kbi_p_conflict_causes_l___9,Child Mental Health,Child Mental Health,True
kbi_p_conflict_l,Child Mental Health,Child Mental Health,True
kbi_p_grades_in_school_l,Child Mental Health,Child Mental Health,True
kbi_p_how_well_c_school_l,Child Mental Health,Child Mental Health,True
kbi_y_sex_orient,Child Mental Health,Child Mental Health,True
kbi_y_sex_orient_probs,Child Mental Health,Child Mental Health,True
kbi_y_trans_id,Child Mental Health,Child Mental Health,True
kbipcregfriend_groupopin_l,Child Mental Health,Child Mental Health,True
kbipcserviceschecklistl1,Child Mental Health,Child Mental Health,True
kbipcserviceschecklistl10,Child Mental Health,Child Mental Health,True
kbipcserviceschecklistl7,Child Mental Health,Child Mental Health,True
kbipcserviceschecklistl8,Child Mental Health,Child Mental Health,True
kbipcserviceschecklistl9,Child Mental Health,Child Mental Health,True
ksads_16_99_t,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1001_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1003_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1004_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1005_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1006_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1007_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1008_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1009_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1010_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1012_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_1013_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_404_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_406_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_408_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_409_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_411_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_413_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_414_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_416_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_419_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_421_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_423_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_975_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_976_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_977_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_978_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_979_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_980_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_981_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_984_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_985_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_986_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_987_p,Child Mental Health,Child Mental Health,True
ksads_adhd_raw_988_p,Child Mental Health,Child Mental Health,True
ksads_asd_raw_558_p,Child Mental Health,Child Mental Health,True
ksads_asd_raw_560_p,Child Mental Health,Child Mental Health,True
ksads_asd_raw_562_p,Child Mental Health,Child Mental Health,True
ksads_asd_raw_563_p,Child Mental Health,Child Mental Health,True
ksads_bd_raw_119_p,Child Mental Health,Child Mental Health,True
ksads_bd_raw_119_t,Child Mental Health,Child Mental Health,True
ksads_bd_raw_122_p,Child Mental Health,Child Mental Health,True
ksads_bd_raw_122_t,Child Mental Health,Child Mental Health,True
ksads_bd_raw_124_p,Child Mental Health,Child Mental Health,True
ksads_bd_raw_126_p,Child Mental Health,Child Mental Health,True
ksads_bd_raw_126_t,Child Mental Health,Child Mental Health,True
ksads_bd_raw_162_tTRAN,Child Mental Health,Child Mental Health,True
ksads_bd_raw_948_p,Child Mental Health,Child Mental Health,True
ksads_bd_raw_953_p,Child Mental Health,Child Mental Health,True
ksads_bd_raw_959_p,Child Mental Health,Child Mental Health,True
ksads_cdr_1087_p___5th,Child Mental Health,Child Mental Health,True
ksads_cdr_466_p,Child Mental Health,Child Mental Health,True
ksads_cdr_467_p,Child Mental Health,Child Mental Health,True
ksads_cdr_473_p,Child Mental Health,Child Mental Health,True
ksads_cdr_raw_466_t,Child Mental Health,Child Mental Health,True
ksads_cdr_raw_467_t,Child Mental Health,Child Mental Health,True
ksads_dp_raw_101_p,Child Mental Health,Child Mental Health,True
ksads_dp_raw_101_t,Child Mental Health,Child Mental Health,True
ksads_dp_raw_118_pTRAN,Child Mental Health,Child Mental Health,True
ksads_dp_raw_118_tTRAN,Child Mental Health,Child Mental Health,True
ksads_dp_raw_95_p,Child Mental Health,Child Mental Health,True
ksads_dp_raw_95_t,Child Mental Health,Child Mental Health,True
ksads_dp_raw_98_p,Child Mental Health,Child Mental Health,True
ksads_dp_raw_98_t,Child Mental Health,Child Mental Health,True
ksads_eatingdis_raw_358_p,Child Mental Health,Child Mental Health,True
ksads_eatingdis_raw_358_t,Child Mental Health,Child Mental Health,True
ksads_eatingdis_raw_359_pBMI,Child Mental Health,Child Mental Health,True
ksads_eatingdis_raw_359_tBMI,Child Mental Health,Child Mental Health,True
ksads_eatingdis_raw_363_pBMI,Child Mental Health,Child Mental Health,True
ksads_gad_raw_1965_p,Child Mental Health,Child Mental Health,True
ksads_gad_raw_1966_pTRAN,Child Mental Health,Child Mental Health,True
ksads_gad_raw_271_p,Child Mental Health,Child Mental Health,True
ksads_gad_raw_271_t,Child Mental Health,Child Mental Health,True
ksads_gad_raw_273_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1019_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1020_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1022_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1030_pTRAN,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1032_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1033_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1034_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1035_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1037_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1039_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_1042_pTRAN,Child Mental Health,Child Mental Health,True
ksads_odd_raw_454_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_455_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_457_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_458_p,Child Mental Health,Child Mental Health,True
ksads_odd_raw_465_p_ageonset,Child Mental Health,Child Mental Health,True
ksads_odd_raw_465_p_ageworsen,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_220_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_221_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_222_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_228_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_230_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_251_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_252_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_259_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_268_p,Child Mental Health,Child Mental Health,True
ksads_phobia_raw_270_pTRAN,Child Mental Health,Child Mental Health,True
ksads_sa_raw_1836_p,Child Mental Health,Child Mental Health,True
ksads_sa_raw_1837_pTRAN,Child Mental Health,Child Mental Health,True
ksads_sa_raw_198_p,Child Mental Health,Child Mental Health,True
ksads_sa_raw_201_p,Child Mental Health,Child Mental Health,True
ksads_sad_raw_209_t,Child Mental Health,Child Mental Health,True
ksads_sleepprob_raw_814_p,Child Mental Health,Child Mental Health,True
ksads_sleepprob_raw_814_t,Child Mental Health,Child Mental Health,True
ksads_sleepprob_raw_818_pTRAN,Child Mental Health,Child Mental Health,True
ksads_sleepprob_raw_818_tTRAN,Child Mental Health,Child Mental Health,True
peq_chase_perp,Child Mental Health,Unclassified,False
peq_chase_vic,Child Mental Health,Unclassified,False
peq_exclude_perp,Child Mental Health,Unclassified,False
peq_exclude_vic,Child Mental Health,Unclassified,False
peq_gossip_perp,Child Mental Health,Unclassified,False
peq_gossip_vic,Child Mental Health,Unclassified,False
peq_hit_perp,Child Mental Health,Unclassified,False
peq_hit_vic,Child Mental Health,Unclassified,False
peq_invite_perp,Child Mental Health,Unclassified,False
peq_invite_vic,Child Mental Health,Unclassified,False
peq_left_out_perp,Child Mental Health,Unclassified,False
peq_left_out_vic,Child Mental Health,Unclassified,False
